Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.09350689590532,-5.856637191786509,4.414186562836335,-3.2547373255439426,8.591412061524512 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.901850044767081,-8.323766452772894,3.6600086693212576,-5.223123552617039,8.478244819267538 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.688322203556206,-10.798906521713312,2.898301725251315,-7.197411726286191,8.331540837842491 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.4578147978950259,-13.280695852934203,2.121237371102211,-9.179636138384922,8.162154100873157 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,7.375917555379032,-13.081499726452565,2.0705328032200898,-9.032437379338376,8.010593492546767 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,7.281475537899617,-12.904669691570698,2.045609822139113,-8.917081504192766,7.894153066523851 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,7.2055951977464229,-12.726643132826635,2.0190533045379199,-8.780421862930098,7.805839087483953 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,7.141643313377013,-12.548714685912375,2.0135310892922009,-8.659433927507508,7.733436349785533 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.079634752274152,-12.421532611651914,2.014428416386636,-8.499171588903949,7.667511651511134 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.020913721813513,-12.295675319095104,2.025052721039117,-8.358079783209633,7.60377639187859 
