Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.949209049413169,-5.859265831647161,4.151939537325859,-3.170525230319413,8.441313821872175 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.756944984429898,-8.326435355398836,3.3735625085281528,-5.120613700665899,8.327380463025096 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.542562957053081,-10.801631883388227,2.587642068569039,-7.0766226188927139,8.17951094133528 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.31101752589811,-13.283477601224967,1.7863816449144566,-9.040691974101719,8.008703422502356 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,7.228605313096678,-13.084320291358294,1.7397270589108303,-8.896443010388339,7.856028847547692 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,7.133674738811566,-12.907495508149108,1.717134994910566,-8.783555153426392,7.738931244308673 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,7.057521924134399,-12.729464933962266,1.6929495372648376,-8.649549047306494,7.650297608593184 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.993427340681973,-12.551532599107537,1.68986193254284,-8.530680279001672,7.577752933851193 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.9313412896733,-12.424427067177629,1.694072103761414,-8.371237385417885,7.511776270608069 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.8725791297282969,-12.29864981865937,1.7080256574869282,-8.230706872152269,7.448038017306296 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.814623503982422,-12.174338465486592,1.7150487277197045,-8.07005909814734,7.385270145290197 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.757380539143853,-12.051553398777994,1.7312959314975843,-7.928842291473643,7.323468694063338 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.695892738327053,-12.024799735869769,1.6578341256606564,-7.981505417305186,7.261163782917955 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.634774846019795,-11.999087239687779,1.593007345790113,-8.040457494571968,7.197866928409906 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.57325240653513,-11.974833331929485,1.5293838353953789,-8.099189693776907,7.133889881520345 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.51153312378037,-11.951904064233787,1.4661206130219853,-8.156782946178283,7.0696663181981569 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,6.455655422748038,-11.830185415256914,1.459252177013468,-8.083619921375544,7.006846721086443 
