Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.49855069006297,-5.831061511973969,6.963356837207357,-4.081908735174579,10.051609058385122 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.312333352442382,-8.29779281052517,6.420065544321233,-6.212768662096721,9.944981725784452 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,9.106356218149882,-10.772406963994449,5.869429508714063,-8.349815372296007,9.808247631786305 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,8.88498668061129,-13.253671711646537,5.303400207144591,-10.494207618500753,9.651031615488398 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,8.807477769946729,-13.054108880873804,5.2181673947806079,-10.326020407263173,9.509048452377236 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,8.717210413377375,-12.877235642053048,5.169858383738415,-10.177577740427353,9.39822084572036 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,8.643724207131026,-12.699247393232819,5.127166939138647,-10.028819828882434,9.312686796322323 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.580946109188151,-12.5213531791244,5.097030642234358,-9.877839692377677,9.241510047135137 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.519672789139142,-12.393428732086355,5.074535949853612,-9.724952283148128,9.176106329427532 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.461276483105398,-12.266790786023412,5.053716997922379,-9.57181128640741,9.112447201824047 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,8.403582572249558,-12.141577478400821,5.03453101846992,-9.418367994817004,9.049517307587268 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.346330035820689,-12.017841967309517,5.01594025780264,-9.264840902428375,8.98729688667347 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.28531369453062,-11.992052259227501,4.953551858732226,-9.306759372112993,8.924997147159776 
