Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.7632692333993788,-5.9902670563859499,-1.4543733786943563,-4.655062608986839,1.0795722118135292 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.5841296979651725,-8.45825905114144,-2.32748302959601,-6.553788824673575,0.9883386704718752 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,0.3801854881150601,-10.935051548754501,-3.2016849675936784,-8.458651164405297,0.8596901849039957 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1599039207318243,-13.418293131921426,-4.089265106968298,-10.372905802510104,0.7042221179538093 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,0.10050607463078912,-13.220248549000763,-4.106176651227656,-10.258177829830459,0.5649459080395136 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.025487707679449899,-13.043032816574684,-4.105619184105478,-10.135331933654584,0.46159774088815538 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.030363539855144177,-12.864483975469517,-4.099370318242336,-10.010826815604333,0.3888658274905395 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.07352470425333309,-12.685997571322071,-4.080512783770473,-9.881542013933313,0.33468603786490189 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.11438538203850253,-12.5620884609118,-4.053367118352071,-9.74904610110275,0.28902500911968068 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.1513705599698229,-12.43964165216095,-4.023950094182396,-9.616414394938375,0.2466848002480697 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.1870914463749563,-12.318833801496295,-3.9927062910372799,-9.483646265433777,0.20591387879479046 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.2220957340968191,-12.199724824427954,-3.9608013798752497,-9.351207103469278,0.16630934247199179 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.2609929759714543,-12.168302549785539,-4.008901510668807,-9.380185453545778,0.12651324652044228 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.29954508190275389,-12.138109895839266,-4.049611810536362,-9.415532896524951,0.08601195905762783 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.33840577788568979,-12.109594521903695,-4.089079183652416,-9.451062395011661,0.044972487634973457 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.37745468029634596,-12.08261657871973,-4.128182083398428,-9.485864949008715,0.00370292302340125 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-0.4105010735279577,-11.960354626414534,-4.11166413302891,-9.409977523811222,-0.03632357505841591 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.4432832233021109,-11.83819039045638,-4.0979323376843699,-9.326920903117412,-0.07450528918542977 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-0.474962868585628,-11.716001538422738,-4.084185957510101,-9.242746337647475,-0.11109302565403197 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.5057096682708309,-11.593821332012095,-4.0697227720968389,-9.158160958164445,-0.14653551602565996 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.544022884451241,-11.594624257514213,-4.0949345541524739,-9.163236862907866,-0.18255021561848243 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.5817347223393906,-11.595326856473076,-4.122136631042167,-9.171792855800959,-0.22002268412946025 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6200171284733209,-11.596075471125492,-4.149386084343007,-9.181133829539249,-0.2587483323950805 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6586934404163948,-11.596824753710619,-4.1769024283277649,-9.190864857850443,-0.29818753151776147 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6952892510109549,-11.570921318101659,-4.218219883324764,-9.21909987731783,-0.33775567527922809 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.7321011486560591,-11.54636869503623,-4.254177304745099,-9.248173577137493,-0.37700211351010007 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.7687239627876833,-11.523057175199519,-4.289356546680608,-9.27691771913328,-0.4158344572576011 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.8050923601844883,-11.50091364157437,-4.323963487738524,-9.30487472900819,-0.45431582097944159 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.8422056276872966,-11.453589004572735,-4.320901553422345,-9.258823822498926,-0.49260694053162576 
 01/01  07:30:00,-10.3,77.83635125570177,1.0,22.819555959623899,1.0,22.819555959623899,77.83635125570177,-0.7714633218744234,-9.780751484547233,-3.903849102608774,-8.843842817050473,-0.5155797668090244 
 01/01  07:45:00,-10.15,382.80225054662847,1.0,109.75755355442667,1.0,109.75755355442667,382.80225054662847,-0.4065781096805103,-3.4233767296005688,-2.2520809412728228,-7.385299993176318,-0.4820499809027837 
 01/01  08:00:00,-10.0,698.1846215562486,1.0,195.8764694434918,1.0,195.8764694434918,698.1846215562486,0.03700698014748139,3.0649815911287598,-0.48468348861865709,-5.905830590650794,-0.3864293459687936 
 01/01  08:15:00,-9.725,1014.638905935737,1.0,278.97248314719988,1.0,278.97248314719988,1014.638905935737,0.3831794000025562,8.252763044611032,1.1811197520478345,-4.607619937598429,-0.24599711044021356 
 01/01  08:30:00,-9.45,1350.5681277582674,1.0,364.91995730569456,1.0,364.91995730569456,1350.5681277582674,0.7523398071934201,13.333935376877648,2.7850445136436976,-3.3348295164959156,-0.06740401931909494 
 01/01  08:45:00,-9.175,1576.0729545191558,1.0,420.35879993239237,1.0,420.35879993239237,1576.0729545191558,1.005675761488632,16.0943308315959,3.81484484641544,-2.5504340894742087,0.1309208087379104 
