Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.680346151842515,-5.8641650734307879,3.65965858095592,-3.0113689932035188,8.161524111728629 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.486903544261753,-8.331409427754103,2.8341905297681935,-4.9260238260855548,8.046081510500543 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.270859557052449,-10.806713180675809,2.001150460298618,-6.846658379629162,7.895923119940722 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.037293504297164,-13.288666052213243,1.1528086795900663,-8.775623945416954,7.722329363705536 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,6.953862269150746,-13.089582125537295,1.1140338863449984,-8.637293205953143,7.567470478473089 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,6.857969035418905,-12.912767955141153,1.0959909920678115,-8.529181198741924,7.449082194700461 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,6.781347792020956,-12.734729863810001,1.0814827275281687,-8.41070331798852,7.3599041660707809 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.716944970635004,-12.556787270882812,1.0790998926785279,-8.286768298920038,7.287117522094445 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.654712540765447,-12.429825796289446,1.0890395400133457,-8.12796306568299,7.221015336328949 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.5958514433168509,-12.304199182073596,1.1094463174321164,-7.988628057879055,7.157229104980603 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.537912012050275,-12.180045510291548,1.1281240509199507,-7.8401075652018339,7.094569426214577 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.480547325830668,-12.057421991259233,1.1413342921238155,-7.680501853594819,7.032804031665682 
