Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.293457600975021,-5.834793031504456,6.592256544545819,-3.9607692700940335,9.838628728337934 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.106498526112949,-8.30158266445318,6.020785282210568,-6.069579746501063,9.73114908894893 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,8.899504125715854,-10.7762709727482,5.441934507726728,-8.18448034604296,9.593109923361565 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,8.676906698757595,-13.257609663568316,4.8476804219214959,-10.306748666412716,9.434296019273221 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,8.59882536546121,-13.058099101586955,4.766927903152123,-10.140667128113308,9.291049985915257 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,8.507996421055769,-12.88123133767493,4.721031112790229,-9.995314506976172,9.179467370000083 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,8.434195925751004,-12.703238207336917,4.680989818442072,-9.849563760622346,9.09355723699869 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.371252416697932,-12.52533898487034,4.653579862824927,-9.701391703386435,9.022207262085792 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.309884496168355,-12.397522965732462,4.6345340221676,-9.548375982335415,8.956729467908245 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.251434569165788,-12.2709986698182,4.617175916194242,-9.395081881620854,8.893047788275628 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,8.19371180609976,-12.145904968266544,4.601460216065107,-9.241476066993642,8.830127793219209 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.1364485077553,-12.022295032036896,4.5863519049472079,-9.087796028443563,8.767941702076289 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.075380072643667,-11.99637815824493,4.523211027152001,-9.132585490929842,8.705635208744346 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.01472853110058,-11.971451259402837,4.463145986734105,-9.17579986045422,8.642859808912493 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.9538963451881889,-11.947939077058792,4.403439358670994,-9.217870361328949,8.579753790168028 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.893004561603631,-11.925715137433489,4.343936005040746,-9.25875281603669,8.516560175003063 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,7.837663652014846,-11.80400278127659,4.319922863471447,-9.172651303635348,8.454519786209892 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,7.7825642527929059,-11.682342721165587,4.29381006126431,-9.078378888328075,8.3941131245387 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,7.728530550327861,-11.560659100221543,4.2680452755435,-8.98329498638509,8.335093159684842 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.6753758647040499,-11.438984730418614,4.243127513852073,-8.887987964815125,8.277072804780865 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.615535758378597,-11.440127678239194,4.191489092716097,-8.890524050161389,8.218458931313823 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.556343070769995,-11.441237925061222,4.140814815873682,-8.8995272829452,8.158571671847005 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.49663743758774,-11.4423893498754,4.0903181290433399,-8.909059847459617,8.097716385835123 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.436660961839372,-11.443537587309331,4.039481431548779,-8.918719610921017,8.036413068894932 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.378536243807956,-11.42205821921768,3.9812868306444217,-8.953939461617495,7.975297435317143 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.320344411090357,-11.401692676120696,3.9251156238542537,-8.989491058221177,7.914692938256668 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.262474238130308,-11.382367489798974,3.869437155576975,-9.024121315711853,7.8545760984505039 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.204925150848847,-11.364020637899927,3.814295890874746,-9.057680309109628,7.794836079980375 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,7.147022678994356,-11.313617094472912,3.784692989699465,-9.001886360682534,7.735189788651876 
 01/01  07:30:00,-10.3,215.5879980222353,1.0,22.819555959623899,1.0,22.819555959623899,215.5879980222353,7.219264402767069,-9.639439043459009,4.0369873354655969,-8.69782130023259,7.696358183377091 
 01/01  07:45:00,-10.15,1058.5392312119832,1.0,109.75755355442667,1.0,109.75755355442667,1058.5392312119832,7.647310516704426,-3.2610002022083486,5.146496054747615,-7.701369738855874,7.736477852896727 
 01/01  08:00:00,-10.0,1924.8399544048012,1.0,195.8764694434918,1.0,195.8764694434918,1924.8399544048012,8.184047873889066,3.2070420857558474,6.378442810309593,-6.716468879897434,7.863661817700858 
 01/01  08:15:00,-9.725,2788.1568045040946,1.0,278.97248314719988,1.0,278.97248314719988,2788.1568045040946,8.675742045384915,8.390981766043782,7.6379270962686409,-5.840107860209798,8.052116528198964 
 01/01  08:30:00,-9.45,3698.191694964431,1.0,364.91995730569456,1.0,364.91995730569456,3698.191694964431,9.164534813490443,13.463127094703518,8.996291795491175,-4.952322323243948,8.289546647849612 
 01/01  08:45:00,-9.175,4300.2673206835229,1.0,420.35879993239237,1.0,420.35879993239237,4300.2673206835229,9.5199551286909,16.21935207439671,9.89405967349245,-4.396301512539139,8.554196872331725 
 01/01  09:00:00,-8.9,4925.271017558337,1.0,478.00138373643099,1.0,478.00138373643099,4925.271017558337,9.934654579271787,19.213133317107116,10.778198432266663,-3.829018213725533,8.835109293452714 
 01/01  09:15:00,-8.350000000000002,5563.47927965646,1.0,536.9185644770597,1.0,536.9185644770597,5563.47927965646,10.300878008044029,20.325988515764789,11.701060540501544,-3.195259482387769,9.13278367785926 
