Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.216070210890048,-5.927169397126538,1.0093068679656199,-3.7807174875838429,4.6161758812682669 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.02997438529927,-8.394935776615914,0.1506170105236606,-5.678995080657444,4.512130251029749 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,3.8202169984776677,-10.871001184830837,-0.7129998422972221,-7.58323706790452,4.372069823099265 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.5919095297675227,-13.353625167967115,-1.5911581382893019,-9.496329034918177,4.206869243884171 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,3.520605696736505,-13.155017778909336,-1.6196223428814847,-9.365397306193131,4.059415144135717 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,3.4347440528494905,-12.978026187786297,-1.6251437254807684,-9.255540137192725,3.9485286876444189 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,3.3683368588914885,-12.79972772616602,-1.627791824272549,-9.135872522996806,3.867742130651406 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,3.314461592475692,-12.621512788992185,-1.6183839540435657,-9.01048751566691,3.8044326826907426 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.262900580478345,-12.49608467541797,-1.5953040168943745,-8.870294522809559,3.7486962043648828 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.2148993720353276,-12.372056275147582,-1.5705258632057167,-8.72922099070604,3.6956849911913998 
