Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.08318200603144431,-6.0058292520720519,-2.051569050719479,-4.869484961075557,0.2119840895509415 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.2616647418054119,-8.47377872989591,-2.929093047588708,-6.7683111488287299,0.12387229188816013 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-0.4629356320823855,-10.9507142790156,-3.8066728700828209,-8.673371609869719,-0.001994099980871879 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6817643087144844,-13.434167336288672,-4.69665515361487,-10.587782635930694,-0.1551164729285103 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.7381958526904365,-13.236245020792275,-4.71239622357632,-10.474694965612799,-0.2925358723563025 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.8105774287729423,-13.058980081738259,-4.709209172713315,-10.351022051891846,-0.3942310925553348 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.8638945632192302,-12.880370878727947,-4.7005774538964719,-10.225616035461599,-0.4651758894322371 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.9044852928400261,-12.701818682870286,-4.679406170767493,-10.095412721003527,-0.5172728943937105 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.9427810016754995,-12.578282254972029,-4.6513987907023879,-9.964948071316826,-0.5605820233071935 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.9771158729581784,-12.456222803017852,-4.620986838557997,-9.834555468976248,-0.6003928998709824 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.0101330467874308,-12.335821487829458,-4.588701578211044,-9.704083716697597,-0.6385387881375746 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.042412751506358,-12.217139194788638,-4.555746978582761,-9.573987879073343,-0.6754722541471778 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0785204761597378,-12.18516874690152,-4.600164744466497,-9.599307465444327,-0.7125185354782503 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.1142751868022405,-12.154448570442142,-4.637541567794187,-9.630943583198416,-0.7501949102685451 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.1503109565603305,-12.125430778923283,-4.673710251263287,-9.662798273902013,-0.7883646920330636 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.1865233896236665,-12.097975173352339,-4.7095282717667719,-9.69398810976702,-0.8267475902947444 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-1.216715953756499,-11.975644501856478,-4.690838555673849,-9.617255792284596,-0.8639164093359675 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.2466540114876626,-11.853418651121281,-4.674787082819762,-9.533431077215596,-0.899276682521797 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.2745000423117508,-11.731168918915446,-4.658723743999701,-9.448505232259209,-0.9329489574824684 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3024593190645979,-11.608963819850464,-4.641694580677381,-9.363067680833638,-0.9654159265546108 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3389777140600934,-11.609718156973259,-4.6650047144807449,-9.367325178804095,-0.9985845544870688 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3738907044585338,-11.61033240665563,-4.690392694681975,-9.375214683830905,-1.033323870956009 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4095130466189077,-11.61103524686928,-4.715646756319984,-9.3838391366927,-1.0693482197777978 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4455338988606633,-11.611734147207596,-4.741176623166496,-9.392883137166962,-1.1060818994193793 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4794039964007695,-11.585389870515256,-4.778940911364998,-9.417887738299726,-1.1429119167267566 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.513489198523397,-11.56041893451807,-4.811728309384762,-9.443609480043847,-1.1793952263917238 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5473830121477994,-11.536709141192825,-4.843796653370987,-9.469035583731682,-1.215454293686538 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5810243587914484,-11.514186342753119,-4.875327431279857,-9.493745185944704,-1.2511618148399007 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-1.6155070554850202,-11.467146166845206,-4.871603067069941,-9.449557773110712,-1.2867212811366403 
 01/01  07:30:00,-10.3,62.74310911265812,1.0,22.819555959623899,1.0,22.819555959623899,62.74310911265812,-1.5452321422511009,-9.79445135210804,-4.457881843420012,-9.041394163006033,-1.3079068491946354 
 01/01  07:45:00,-10.15,308.5730894002722,1.0,109.75755355442667,1.0,109.75755355442667,308.5730894002722,-1.1897640339783807,-3.439495529471967,-2.8160960496429086,-7.597070716447433,-1.2761936642736176 
 01/01  08:00:00,-10.0,562.799684008513,1.0,195.8764694434918,1.0,195.8764694434918,562.799684008513,-0.7636193838606304,3.049531846655678,-1.0383142160432045,-6.120241256339057,-1.1867266427501476 
 01/01  08:15:00,-9.725,817.8903373303126,1.0,278.97248314719988,1.0,278.97248314719988,817.8903373303126,-0.43185035767412235,8.239716722060216,0.5932599908741736,-4.833303775634249,-1.0537060039995599 
 01/01  08:30:00,-9.45,1088.679544158928,1.0,364.91995730569456,1.0,364.91995730569456,1088.679544158928,-0.07816233915369171,13.321086336764344,2.1839768546475399,-3.5612937377117079,-0.8836817528404106 
 01/01  08:45:00,-9.175,1270.4567436635296,1.0,420.35879993239237,1.0,420.35879993239237,1270.4567436635296,0.16159699261156897,16.081931498197578,3.2094210182308986,-2.7733933131180494,-0.6946625502944873 
 01/01  09:00:00,-8.9,1460.1360172942112,1.0,478.00138373643099,1.0,478.00138373643099,1460.1360172942112,0.44393630106028228,19.07803769829685,4.248896486052217,-1.9676182361185398,-0.49479386690178447 
 01/01  09:15:00,-8.350000000000002,1654.8116028101584,1.0,536.9185644770597,1.0,536.9185644770597,1654.8116028101584,0.6648898297172451,20.20061754236218,5.2868737857529599,-1.1966322873468585,-0.27898499932530787 
 01/01  09:30:00,-7.800000000000001,1857.0082543899935,1.0,598.0969199229219,1.0,598.0969199229219,1857.0082543899935,0.9095587183755709,21.457331134616319,6.340747633052501,-0.4295746947424277,-0.049528726397407737 
 01/01  09:45:00,-7.25,1992.0601086428258,1.0,637.6133352894237,1.0,637.6133352894237,1992.0601086428258,1.0879036098238304,21.520438972147905,7.0578543815599918,0.06947434286348653,0.17950540218679712 
 01/01  10:00:00,-6.7,2125.4860325366059,1.0,676.6412284283772,1.0,676.6412284283772,2125.4860325366059,1.2810599302354687,21.6833217822233,7.75407434874046,0.5629343007138914,0.39974698127412869 
 01/01  10:15:00,-6.275,2256.693067527073,1.0,715.0112779846514,1.0,715.0112779846514,2256.693067527073,1.5518494935009777,23.78041339765294,8.547492647640297,1.3347406416918375,0.6161993631622692 
 01/01  10:30:00,-5.85,2384.8617842402206,1.0,752.5077794605232,1.0,752.5077794605232,2384.8617842402206,1.808127495526068,25.71522477474077,9.323193683081513,2.086973251671793,0.8342341258247844 
 01/01  10:45:00,-5.425,2350.664610034857,1.0,742.5988714321785,1.0,742.5988714321785,2350.664610034857,1.9479817828855657,25.567062083401724,9.422567996263297,2.3307938973686079,1.0388739297597259 
 01/01  11:00:00,-5.0,2299.7215542778105,1.0,727.8169025450712,1.0,727.8169025450712,2299.7215542778105,2.0847717602922755,25.337347410273087,9.437065714384403,2.5320719672538418,1.2197143652762195 
 01/01  11:15:00,-4.575,2210.61548540657,1.0,700.3759009170325,1.0,700.3759009170325,2210.61548540657,2.1752624942444358,24.594356011140986,9.28331694873134,2.641806090948535,1.3720783061705229 
