Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.860030222884599,-5.897268845090271,2.1957584955700897,-3.3648708481383666,6.297684567244263 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.669557746468585,-8.36483115562412,1.3426341118428696,-5.2627598254180729,6.187662450656896 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,5.456456367528058,-10.840519401871616,0.48290695672733366,-7.166703547463044,6.042052677619113 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,5.224652982162792,-13.322841260742475,-0.3916353200354479,-9.079253605657869,5.871982600666363 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,5.147578218157373,-13.123998474249444,-0.42333864312365679,-8.946030187729889,5.720366763424709 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,5.056482947281741,-12.947113353052515,-0.4338387548370406,-8.83813576523005,5.605562441307115 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.984952781811909,-12.768937538711631,-0.44117521002499418,-8.720223703188083,5.520597330505224 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,4.925863538556626,-12.590854250305386,-0.436402799081975,-8.596611351483489,5.45264096036066 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.869085813160262,-12.464704130044727,-0.41555804045276548,-8.453021241334796,5.39187817230583 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.815735474946513,-12.33992228091623,-0.39328579108826036,-8.308262320788458,5.333622454635421 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,4.763412670125022,-12.216661466807726,-0.36945299241853038,-8.163137640613286,5.276540094210804 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.711739039493869,-12.094976280517198,-0.3450117500627812,-8.018180664214413,5.220462815023972 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.655833597214551,-12.066870336965739,-0.41470418327213567,-8.067945952492778,5.16381286875293 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.60024809336311,-12.039864494973754,-0.47507763043398656,-8.124376968263733,5.106084949712484 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.54421751605152,-12.014382054924046,-0.5340519845026392,-8.180860136376055,5.047611024485542 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.487952646849848,-11.990285869398342,-0.5926089940472821,-8.23633861412361,4.988847031399287 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,4.437633928401105,-11.86843210809651,-0.5894191344146975,-8.165550583701759,4.931511665714705 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,4.387654407900476,-11.746639227185856,-0.5898295583902495,-8.087176182059409,4.876234281622497 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,4.338931486739842,-11.624817831591458,-0.5901945229587113,-8.007589305064073,4.822676813431247 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.291238220288054,-11.50300451792039,-0.5897422747477776,-7.927550784132734,4.7703188314085349 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.236435594011173,-11.50407643094197,-0.6316678456412319,-7.9350811041121009,4.717272385933947 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.182283780180073,-11.505093030833518,-0.6717141184682305,-7.948179684195054,4.662744896068553 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.127552061215131,-11.506153823505173,-0.7114243125717508,-7.961965879044101,4.60707603271215 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.072493557623978,-11.507211814774762,-0.7514473164319497,-7.975990734020456,4.550858828897057 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0192967605806999,-11.483964131752322,-0.8085600668624124,-8.024439548277315,4.494647888356693 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.96595166165921,-11.461927759847539,-0.8629513472099006,-8.073338444694855,4.438765483887915 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.9128373417530666,-11.441013573399124,-0.9165395480594043,-8.121312223443909,4.3832485561986609 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.8599866177186596,-11.42115391081851,-0.9694131027007416,-8.168078388493428,4.328045294407354 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,3.8069042398579788,-11.372113385447298,-0.971276092053813,-8.111748913294435,4.27326072227699 
 01/01  07:30:00,-10.3,181.53280301124716,1.0,22.819555959623899,1.0,22.819555959623899,181.53280301124716,3.8811337955528155,-9.698303912614304,-0.6538259766073225,-7.76027628356087,4.2383835080204979 
 01/01  07:45:00,-10.15,891.3278823594253,1.0,109.75755355442667,1.0,109.75755355442667,891.3278823594253,4.304909437890551,-3.327056460203055,0.6332680383400202,-6.586039409493878,4.277613698301659 
 01/01  08:00:00,-10.0,1620.7840671873826,1.0,195.8764694434918,1.0,195.8764694434918,1620.7840671873826,4.856650770465837,3.162320388321909,2.0115082613352799,-5.388930813043089,4.397493115381225 
 01/01  08:15:00,-9.725,2347.727724178928,1.0,278.97248314719988,1.0,278.97248314719988,2347.727724178928,5.272149427999721,8.330094457270916,3.365449189546325,-4.3275695592135439,4.576474177213102 
 01/01  08:30:00,-9.45,3114.0096416305138,1.0,364.91995730569456,1.0,364.91995730569456,3114.0096416305138,5.736341394879013,13.411127999232637,4.852810736497872,-3.2248186396864186,4.803589228881022 
 01/01  08:45:00,-9.175,3620.9788466187658,1.0,420.35879993239237,1.0,420.35879993239237,3620.9788466187658,6.070086783021313,16.168625185278306,5.837825818344072,-2.5374766527753538,5.0545318077324039 
 01/01  09:00:00,-8.9,4147.254307348187,1.0,478.00138373643099,1.0,478.00138373643099,4147.254307348187,6.4580643973219049,19.16365428073871,6.8079497695893,-1.8362354477951613,5.318241652337031 
