Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.810863485299741,-5.861786496680005,3.9000817369227436,-3.0896506269976955,8.297379449888928 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.618005872053042,-8.328994482249354,3.0979432430712565,-5.021833452862552,8.18269029218416 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.402786934749731,-10.80424568681322,2.2882474825369174,-6.95996291143183,8.03367179026682 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.170223760364758,-13.286146027316665,1.4632305831648865,-8.90628470906637,7.861464188671137 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,7.0873027709434359,-13.087026196433007,1.4205548038084999,-8.764996123332196,7.707692205872488 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,6.991890841720893,-12.910206651901257,1.4002580122033806,-8.654521064290976,7.589947240205567 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,6.915469540143721,-12.732172179540499,1.3784323294920569,-8.523129705541067,7.500999130053277 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.8512336236886279,-12.55423607634568,1.3777279416162288,-8.406322229213572,7.428314820821287 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.789071161540093,-12.427203987868575,1.3852412334896372,-8.247760950005727,7.362287539734351 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.730267900401056,-12.301503510311806,1.4024748294847314,-8.107829401986635,7.298546939289201 
