Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.710794102142719,-5.827200323809176,7.3500432299917979,-4.209744260395496,10.271997802263393 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.525342996187682,-8.293871003901174,6.835497359833823,-6.363221527739654,10.166239666193297 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,9.320411078003892,-10.768408786067197,6.313650098718313,-8.52300593633447,10.030834627080849 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,9.100301327020194,-13.249597348969792,5.776426626425405,-10.690134015641093,9.875245649515155 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,9.023380602315866,-13.049980482719385,5.686692479661019,-10.520136424061434,9.734551828079612 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,8.933692792274443,-12.87310155936408,5.635960178938944,-10.368518907965609,9.62449945848123 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,8.860534922791489,-12.695118130003714,5.590594114063151,-10.216662645868212,9.539356741458129 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.79793375544826,-12.517228890536679,5.557697245542727,-10.0627833433133,9.46836565921837 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.736766131871456,-12.38919205180465,5.531761155628374,-9.910194473657612,9.403047877732757 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.678434020667707,-12.262436258797547,5.507479248796017,-9.757383571371634,9.339423349022308 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,8.620779576890305,-12.137098918794953,5.484818468666731,-9.604285498618197,9.27649572581076 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.56354838300846,-12.013233175129017,5.4627384181947609,-9.451099792922549,9.214253055681093 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.502594470135458,-11.987574920225243,5.401084810971042,-9.489871880720444,9.151971292888254 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.442074135258756,-11.96289270093646,5.341765841921074,-9.527106590657695,9.089334979288891 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.381423286874754,-11.939611805316958,5.282763555855809,-9.56323412063773,9.02644870556582 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.320744704859625,-11.917607589901192,5.223942121961954,-9.598255429479309,8.963514447137035 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,8.265537043761086,-11.795897782086798,5.195070094675373,-9.50835473983966,8.901669274129829 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,8.210550988125844,-11.674240417357498,5.1647336128523879,-9.410417962339807,8.841368300453363 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,8.156585221395347,-11.5525605408051,5.134798237258394,-9.311764454753018,8.782387925460059 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,8.103465094652453,-11.430890141575155,5.105699230500818,-9.2129283186066,8.72436868422052 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,8.043724450839756,-11.432028515678047,5.053253079123351,-9.214222739141519,8.665781149395383 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.984626673127371,-11.433136456189909,5.001335723936677,-9.222099165176303,8.605961520560238 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.925029296706641,-11.434285110317094,4.949560917262147,-9.230469098123024,8.54520139572383 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.8651676572445139,-11.435430697275475,4.897443853515256,-9.238947296612708,8.484003910929458 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.807164829089092,-11.414163168463471,4.839973089785417,-9.268922363509433,8.423023203450951 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.749103417386779,-11.393997437499472,4.7842872374285438,-9.299111122397335,8.362583581822263 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.691376508901617,-11.37486224241981,4.729022792988985,-9.328453174504262,8.302650121247617 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.633977352096399,-11.35669630645662,4.674253308376819,-9.356835582155953,8.243101002148114 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,7.5761764866083889,-11.306104368985166,4.639748020063166,-9.302902754603793,8.183572226398163 
